teamId,name,role,ovr,rating
hotu,n0rb3r7,AWP,85,1.09
hotu,mizu,Entry,87,1.15
hotu,kade0,Lurk,82,1.03
hotu,frontales,Support,88,1.12
hotu,dwushka,IGL,87,1.1
ninjas-in-pyjamas,stavn,Entry,86,1.14
ninjas-in-pyjamas,xkacpersky,Entry,95,1.29
ninjas-in-pyjamas,sjuush,Support,85,1.06
ninjas-in-pyjamas,n0te,Support,84,1.03
ninjas-in-pyjamas,snappi,IGL,75,0.87
ninjas-in-pyjamas,r1nkle,Lurk,81,1.03
ninjas-in-pyjamas,cairne,Lurk,87,1.13
heroic,nilo,AWP,92,1.24
heroic,chr1zn,Lurk,85,1.09
heroic,susp,Lurk,81,1.02
heroic,martinezsa,Lurk,92,1.22
heroic,brollan,IGL,88,1.12
heroic,xfl0ud,Entry,87,1.15
heroic,yxngstxr,Support,84,1.03
100-thieves,device,AWP,87,1.13
100-thieves,rain,Entry,83,1.06
100-thieves,poiii,Lurk,87,1.13
100-thieves,gizmy,Lurk,81,1.01
100-thieves,sirah,Support,84,1.04
100-thieves,ag1l,IGL,78,0.92
jijiehao,sinnopsyy,AWP,82,1.04
jijiehao,bibu,Entry,84,1.1
jijiehao,cacanito,Lurk,87,1.13
jijiehao,m1n1,Support,82,1.01
jijiehao,0samas,IGL,80,0.96
dendele,gafolo,AWP,74,0.91
dendele,koala,Entry,87,1.15
dendele,maxxkor,Lurk,77,0.94
dendele,rdnzao,Support,85,1.07
dendele,doc,IGL,89,1.12
k27,xeedo,AWP,87,1.13
k27,x5g7v,Entry,79,1.01
k27,qw1nk1,Lurk,88,1.16
k27,kashl1d,Lurk,90,1.19
k27,clax,Lurk,82,1.03
k27,fame,Lurk,87,1.12
k27,yakuza,Support,82,1.0
k27,balblna,IGL,51,0.42
lynn-vision,z4kr,AWP,74,0.9
lynn-vision,emiliaqaq,Entry,80,1.05
lynn-vision,westmelon,Lurk,70,0.8
lynn-vision,starry,Support,80,0.98
lynn-vision,c4llm3su3,IGL,79,0.96
pain,piriajr,Entry,84,1.09
pain,snow,Lurk,87,1.12
pain,biguzera,Lurk,85,1.09
pain,vsm,Support,85,1.06
pain,saffee,IGL,87,1.11
pain,nqz,AWP,86,1.14
fnatic,jackasmo,AWP,88,1.17
fnatic,jambo,Entry,89,1.19
fnatic,cairne,Lurk,87,1.13
fnatic,mazay,Lurk,92,1.22
fnatic,fear,Lurk,75,0.89
fnatic,krimz,Lurk,87,1.12
fnatic,polbandana,Support,80,0.98
fnatic,br4tko,IGL,78,0.94
vp,mir,AWP,85,1.1
vp,b1st,Entry,90,1.22
vp,aquars,Lurk,85,1.09
vp,f0r3ver,Support,84,1.05
vp,to0ro,IGL,85,1.06
1win,ax1le,AWP,93,1.24
1win,fame,Lurk,87,1.12
1win,artfr0st,Lurk,87,1.12
1win,nafany,Lurk,82,1.04
1win,belchonokk,IGL,80,0.96
1win,oz1k,Entry,81,1.04
1win,lattykk,Lurk,87,1.12
1win,reyoz,Lurk,79,0.98
1win,qikert,Lurk,76,0.92
1win,cronuss,Support,84,1.05
luminosity,rainwaker,AWP,80,1.03
luminosity,bymas,Entry,74,0.92
luminosity,afro,Lurk,84,1.08
luminosity,lux,Support,77,0.93
luminosity,azuwu,IGL,87,1.1
3dmax,lucky,AWP,84,1.08
3dmax,maka,AWP,82,1.04
3dmax,graviti,Lurk,83,1.04
3dmax,misutaaa,Support,80,0.97
3dmax,kursy,IGL,80,0.96
3dmax,bodyy,Entry,78,0.99
3dmax,ex3rcice,IGL,74,0.85
sashi,anlelele,AWP,80,1.02
sashi,cabbi,Entry,80,1.02
sashi,acor,Lurk,86,1.09
sashi,mistr,Lurk,87,1.12
sashi,zyphon,Support,91,1.2
sashi,beccie,IGL,80,0.97
nemesis,r3salt,AWP,92,1.23
nemesis,sdaim,Entry,91,1.23
nemesis,sellter,Lurk,85,1.09
nemesis,mag1k3y,Support,85,1.08
nemesis,tex1y,IGL,85,1.06
betclic,prism,AWP,88,1.16
betclic,ex1st,Entry,86,1.12
betclic,demho,Lurk,87,1.12
betclic,fr3nd,Lurk,87,1.11
betclic,qlocuu,Lurk,83,1.04
betclic,hades,Lurk,81,1.01
betclic,dr3nquu,Support,79,0.96
betclic,eskyy,IGL,83,1.02
acend,h4rn,AWP,85,1.09
acend,kaluber,Entry,81,1.03
acend,redstar,Lurk,83,1.05
acend,skrimo,Support,83,1.04
acend,spellan,IGL,78,0.94
ex-tricked,nickyb,AWP,89,1.16
ex-tricked,boye,Entry,74,0.91
ex-tricked,salazar,Lurk,79,0.99
ex-tricked,leakz,Support,88,1.14
ex-tricked,iceberg,IGL,69,0.75
fokus,banjo,AWP,83,1.08
fokus,matheos,Entry,80,1.03
fokus,ztr,Lurk,79,0.98
fokus,podi,Support,80,1.0
fokus,jocab,IGL,87,1.09
fokus,jorko,Lurk,86,1.1
fokus,volt,Lurk,78,0.95
infinite,blytz,AWP,80,1.01
infinite,kreaz,Entry,82,1.05
infinite,sl3nd,Lurk,92,1.2
infinite,dytor,Support,81,1.0
infinite,volt,IGL,80,0.95
infinite,mhn1,Lurk,73,0.88
m80,swisher,AWP,81,1.02
m80,lake,Entry,87,1.14
m80,slaxz,Lurk,86,1.1
m80,s1n,Support,76,0.9
m80,jba,IGL,85,1.06
nuclear-tigeres,m1quse,AWP,86,1.11
nuclear-tigeres,flouzer,Entry,88,1.16
nuclear-tigeres,ayuki,Lurk,87,1.14
nuclear-tigeres,z1k4,Support,87,1.11
nuclear-tigeres,senka,IGL,82,1.0
flyquest,jks,AWP,91,1.22
flyquest,nettik,Lurk,88,1.15
flyquest,vexite,Lurk,91,1.21
flyquest,story,Support,82,1.01
flyquest,ins,IGL,86,1.08
flyquest,regali,Entry,83,1.08
iberian-soul,cruc1al,AWP,91,1.21
iberian-soul,alex,Entry,78,0.98
iberian-soul,mopoz,Lurk,90,1.2
iberian-soul,sausol,Support,89,1.14
iberian-soul,dav1g,IGL,82,1.0
nrg,sonic,AWP,82,1.04
nrg,grim,Entry,84,1.09
nrg,nitr0,Lurk,80,1.01
nrg,hallzerk,AWP,81,1.02
nrg,jeorge,IGL,84,1.05
nrg,br0,Lurk,78,0.95
nrg,osee,AWP,73,0.86
sinners,modo,AWP,85,1.09
sinners,stressarn,Entry,77,0.96
sinners,shock,Lurk,81,1.01
sinners,beastik,Support,78,0.94
sinners,kisserek,IGL,85,1.05
butterfly,nitzie,AWP,90,1.2
butterfly,zealot,Entry,83,1.08
butterfly,k1ssly,Lurk,82,1.05
butterfly,forester,Support,85,1.08
butterfly,ayano,IGL,84,1.06
ww,deko,AWP,91,1.22
ww,ct0m,Lurk,81,1.0
ww,m3wsu,Lurk,81,1.0
ww,kelien,Lurk,75,0.91
ww,strogo,Lurk,70,0.82
ww,d1ledez,Entry,82,1.07
ww,tried,Support,87,1.12
ww,kensi,IGL,78,0.92
jam,s4ltovsk1yy,AWP,99,1.76
jam,polbandana,Entry,77,0.98
jam,tyr1k,Lurk,92,1.21
jam,smash,Support,82,0.97
jam,psycho,IGL,71,0.75
